States,Year,Quarter,Brand,User_Counts,Percentage
Arunachal Pradesh,2018,1,Gionee,563,0.026192138
Arunachal Pradesh,2018,1,Lenovo,420,0.019539428
Arunachal Pradesh,2018,1,OnePlus,403,0.018748546
Arunachal Pradesh,2018,1,Motorola,343,0.015957199
Arunachal Pradesh,2018,1,Others,2144,0.099744127
Arunachal Pradesh,2018,2,Xiaomi,8058,0.245050634
Arunachal Pradesh,2018,2,Samsung,6633,0.201715172
Arunachal Pradesh,2018,2,Vivo,5591,0.170027066
Arunachal Pradesh,2018,2,Oppo,4204,0.127847216
Arunachal Pradesh,2018,2,Realme,1943,0.059088283
Arunachal Pradesh,2018,2,Apple,869,0.026427029
Arunachal Pradesh,2018,2,Gionee,730,0.022199921
Arunachal Pradesh,2018,2,Lenovo,581,0.017668704
Arunachal Pradesh,2018,2,OnePlus,554,0.016847611
Arunachal Pradesh,2018,2,Motorola,514,0.015631177
Arunachal Pradesh,2018,2,Others,3206,0.097497187
Arunachal Pradesh,2018,3,Xiaomi,11250,0.244980619
Arunachal Pradesh,2018,3,Samsung,9307,0.202669744
Arunachal Pradesh,2018,3,Vivo,8226,0.179129829
Arunachal Pradesh,2018,3,Oppo,5992,0.130482122
Arunachal Pradesh,2018,3,Realme,2676,0.058272723
Arunachal Pradesh,2018,3,Apple,1153,0.025107791
Arunachal Pradesh,2018,3,Gionee,1024,0.02229868
Arunachal Pradesh,2018,3,OnePlus,740,0.016114281
Arunachal Pradesh,2018,3,Motorola,722,0.015722312
Arunachal Pradesh,2018,3,Lenovo,629,0.013697139
Arunachal Pradesh,2018,3,Others,4203,0.091524759
Arunachal Pradesh,2018,4,Xiaomi,15097,0.244082649
Arunachal Pradesh,2018,4,Samsung,12580,0.203388734
Arunachal Pradesh,2018,4,Vivo,11624,0.187932484
Arunachal Pradesh,2018,4,Oppo,8328,0.134643989
Arunachal Pradesh,2018,4,Realme,3613,0.058413633
Arunachal Pradesh,2018,4,Apple,1517,0.024526289
Arunachal Pradesh,2018,4,Gionee,1188,0.01920714
Arunachal Pradesh,2018,4,Motorola,944,0.015262239
Arunachal Pradesh,2018,4,OnePlus,896,0.014486193
Arunachal Pradesh,2018,4,Lenovo,831,0.013435297
Arunachal Pradesh,2018,4,Others,5234,0.084621354
Arunachal Pradesh,2019,1,Xiaomi,18809,0.244409216
Arunachal Pradesh,2019,1,Samsung,15537,0.201891966
Arunachal Pradesh,2019,1,Vivo,14892,0.193510662
